NodeName, HostTimestamp (ms), notificationTime, timeStamp, RawData, X (mg), Y (mg), Z (mg)
Satvik  @334C84,21888, Thu Mar 13 16:25:18 GMT+05:30 2025,64922, [-102 -3 1 0 14 0 -22 3 -3 -1 2 0 3 0 -22 -1 97 -2 -3 -1],1,14,1002
Satvik  @334C84,21954, Thu Mar 13 16:25:18 GMT+05:30 2025,64928, [-96 -3 0 0 15 0 -23 3 -4 -1 2 0 3 0 -10 -1 94 -2 -10 -1],0,15,1001
Satvik  @334C84,21954, Thu Mar 13 16:25:18 GMT+05:30 2025,64922, [-102 -3 1 0 14 0 -22 3 -3 -1 2 0 3 0 -22 -1 97 -2 -3 -1],1,14,1002
Satvik  @334C84,21954, Thu Mar 13 16:25:18 GMT+05:30 2025,64928, [-96 -3 0 0 15 0 -23 3 -4 -1 2 0 3 0 -10 -1 94 -2 -10 -1],0,15,1001
Satvik  @334C84,21955, Thu Mar 13 16:25:18 GMT+05:30 2025,64922, [-102 -3 1 0 14 0 -22 3 -3 -1 2 0 3 0 -22 -1 97 -2 -3 -1],1,14,1002
Satvik  @334C84,21956, Thu Mar 13 16:25:18 GMT+05:30 2025,64928, [-96 -3 0 0 15 0 -23 3 -4 -1 2 0 3 0 -10 -1 94 -2 -10 -1],0,15,1001
Satvik  @334C84,21984, Thu Mar 13 16:25:18 GMT+05:30 2025,64935, [-89 -3 2 0 15 0 -22 3 -4 -1 2 0 3 0 -19 -1 97 -2 -6 -1],2,15,1002
Satvik  @334C84,21985, Thu Mar 13 16:25:18 GMT+05:30 2025,64935, [-89 -3 2 0 15 0 -22 3 -4 -1 2 0 3 0 -19 -1 97 -2 -6 -1],2,15,1002
Satvik  @334C84,21985, Thu Mar 13 16:25:18 GMT+05:30 2025,64935, [-89 -3 2 0 15 0 -22 3 -4 -1 2 0 3 0 -19 -1 97 -2 -6 -1],2,15,1002
Satvik  @334C84,22023, Thu Mar 13 16:25:18 GMT+05:30 2025,64941, [-83 -3 1 0 14 0 -23 3 -3 -1 1 0 3 0 -18 -1 86 -2 -9 -1],1,14,1001
